Date, Confirmed cases
2020-01-30,1.0
2020-01-31,1.0
2020-02-01,2.0
2020-02-02,3.0
2020-02-03,3.0
2020-02-04,3.0
2020-02-05,3.0
2020-02-06,3.0
2020-02-07,3.0
2020-02-08,3.0
2020-02-09,3.0
2020-02-10,3.0
2020-02-11,3.0
2020-02-12,3.0
2020-02-13,3.0
2020-02-14,3.0
2020-02-15,3.0
2020-02-16,3.0
2020-02-17,3.0
2020-02-18,3.0
2020-02-19,3.0
2020-02-20,3.0
2020-02-21,3.0
2020-02-22,3.0
2020-02-23,3.0
2020-02-24,3.0
2020-02-25,3.0
2020-02-26,3.0
2020-02-27,3.0
2020-02-28,3.0
2020-02-29,3.0
2020-03-01,3.0
2020-03-02,5.0
2020-03-03,6.0
2020-03-04,28.0
2020-03-05,30.0
2020-03-06,31.0
2020-03-07,34.0
2020-03-08,39.0
2020-03-09,46.0
2020-03-10,58.0
2020-03-11,60.0
2020-03-12,74.0
2020-03-13,81.0
2020-03-14,84.0
2020-03-15,110.0
2020-03-16,114.0
2020-03-17,137.0
2020-03-18,151.0
2020-03-19,173.0
